new_id, ''casrn'', ''iupac name'', ''smiles'', ''inchi'', ''inchi key'', ''mol formula'',mol weight,logP,Net charge,#H-bond donors,#H-bond acceptors,#Rotatable bonds,Rings,TPSA,Hetero atoms,#Heavy atoms,#Aromatic heavy atoms, ''Melting Point'', ''Boiling point @ 760.00 mm Hg'', ''VaporPressuremmHg@25.00'', ''Vapor Density ( Air = 1 )'',Fraction Csp3,MR,iLOGP,XLOGP3,WLOGP,MLOGP,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l), ''ESOL Class'',Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l), ''Ali Class'',Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l), ''Silicos-IT class'', ''GI absorption'',BBB permeant,Pgp substrate,log Kp (cm/s),Bioavailability Score,Caco02,Human Intestinal Absorption,Plasma protein binding
1, ''78-96-6'', ''1-aminopropan-2-ol'', ''CC(CN)O''," ''1S/C3H9NO/c1-3(5)2-4/h3,5H,2,4H2,1H3''", ''HXKKHQJGJAFBHI-UHFFFAOYSA-N'', ''C3H9NO'',75.11,-0.674,1,2,2,1,0,46.25,2,5,0, ''24.00 to 26.00'', ''160.00 to 161.00'',0.47,2.6,1,20.4,1.13,-0.96,-0.67,-0.63,0.37,174,2.32, ''Highly soluble'',0.47,224,2.98, ''Highly soluble'',0.34,166,2.21, ''Soluble'', ''High'',0,0,-7.44,0.55,0,1,0.058
2, ''759-05-7'', ''2-oxobutanoic acid'', ''CC(C)C(=O)C(=O)O''," ''1S/C5H8O3/c1-3(2)4(6)5(7)8/h3H,1-2H3,(H,7,8)''", ''QHKABHOOEWYVLI-UHFFFAOYSA-N'', ''C5H8O3'',116.12,0.296,-1,1,3,2,0,54.37,3,8,0,31.5, ''170.00 to 171.00'',0.732, ''null'',0.6,28.12,0.77,0.71,0.3,-0.09,-0.88,15.5,0.133, ''Very soluble'',-1.43,4.32,0.04, ''Very soluble'',0.03,124,1.07, ''Soluble'', ''High'',0,0,-6.5,0.85,0,1,0.605
3, ''600-18-0'', ''2-Oxobutyric acid'', ''CCC(=O)C(=O)O''," ''1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)''", ''TYEYBOSBBBHJIV-UHFFFAOYSA-N'', ''C4H6O3'',102.09,0.05,-1,1,3,2,0,54.37,3,7,0,33, ''170.00 to 171.00'',0.482, ''null'',0.5,23.31,0.46,0.14,0.05,-0.5,-0.43,38,0.372, ''Very soluble'',-0.84,14.8,0.15, ''Very soluble'',0.08,123,1.21, ''Soluble'', ''High'',0,0,-6.82,0.85,1,1,0.104
4, ''816-66-0'', ''4-methyl-2-oxopentanoic acid'', ''CC(C)CC(=O)C(=O)O''," ''1S/C6H10O3/c1-4(2)3-5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)''", ''BKAJNAXTPSGJCU-UHFFFAOYSA-N'', ''C6H10O3'',130.14,0.686,-1,1,3,3,0,54.37,3,9,0, ''8 to 10'', ''170.00 to 171.00'',0.239, ''null'',0.67,32.93,1.06,0.94,0.69,0.28,-1.04,11.8,0.091, ''Very soluble'',-1.67,2.79,0.02, ''Very soluble'',-0.39,52.7,0.41, ''Soluble'', ''High'',1,0,-6.43,0.85,0,1,0.563
5, ''99-50-3''," ''3,4-dihydroxybenzoic acid''", ''C1=CC(=C(C=C1C(=O)O)O)O''," ''1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)''", ''YQUVCSBJEUQKSH-UHFFFAOYSA-N'', ''C7H6O4'',154.12,0.796,-1,3,4,1,1,77.76,4,11,6,221, ''170.00 to 171.00'', ''null'', ''null'',0,37.45,0.66,1.15,0.8,0.4,-1.86,2.14,0.014, ''Very soluble'',-2.38,0.65,0, ''Soluble'',-0.6,38.3,0.25, ''Soluble'', ''High'',0,0,-6.42,0.56,0,1,0.717
6, ''501-52-0'', ''3-Phenylpropionic acid'', ''C1=CC=C(C=C1)CCC(=O)O''," ''1S/C9H10O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-5H,6-7H2,(H,10,11)''", ''XMIIGOLPHOKFCH-UHFFFAOYSA-N'', ''C9H10O2'',150.17,1.704,-1,1,2,3,1,37.3,2,11,6,107, ''170.00 to 171.00'',0.002, ''null'',0.22,42.79,1.5,1.84,1.7,1.98,-2.14,1.1,0.007, ''Soluble'',-2.24,0.86,0.01, ''Soluble'',-2.56,0.41,0, ''Soluble'', ''High'',1,0,-5.91,0.85,1,1,0.74
7, ''56-12-2'', ''4-aminobutanoic acid'', ''C(CC(=O)O)CN''," ''1S/C4H9NO2/c5-3-1-2-4(6)7/h1-3,5H2,(H,6,7)''", ''BTCSSZJGUNDROE-UHFFFAOYSA-N'', ''C4H9NO2'',103.12,-0.19,0,2,3,3,0,63.32,3,7,0,203, ''170.00 to 171.00'',0.008, ''null'',0.75,25.82,0.72,-3.17,-0.19,-0.39,1.72,5360,52, ''Highly soluble'',2.41,264,256, ''Highly soluble'',-0.04,95.1,0.92, ''Soluble'', ''High'',0,0,-9.18,0.55,1,1,0.353
8, ''623-05-2'', ''4-(hydroxymethyl)phenol'', ''C1=CC(=CC=C1CO)O''," ''1S/C7H8O2/c8-5-6-1-3-7(9)4-2-6/h1-4,8-9H,5H2''", ''BVJSUAQZOZWCKN-UHFFFAOYSA-N'', ''C7H8O2'',124.14,0.885,0,2,2,1,1,40.46,2,9,6,124.5, ''170.00 to 171.00'',0.01, ''null'',0.14,34.59,1.29,0.25,0.73,0.88,-1.19,7.93,0.064, ''Very soluble'',-0.66,27.1,0.22, ''Very soluble'',-1.61,3.06,0.02, ''Soluble'', ''High'',1,0,-6.88,0.55,1,1,0.314
9, ''123-08-0'', ''4-Hydroxybenaldehyde'', ''C1=CC(=CC=C1C=O)O''," ''1S/C7H6O2/c8-5-6-1-3-7(9)4-2-6/h1-5,9H''", ''RGHHSNMVTDWUBI-UHFFFAOYSA-N'', ''C7H6O2'',122.12,1.205,-1,1,2,1,1,37.3,2,9,6,117, ''170.00 to 171.00'',0.017, ''null'',0,33.85,0.99,1.35,1.2,0.79,-1.87,1.63,0.013, ''Very soluble'',-1.74,2.25,0.02, ''Very soluble'',-1.72,2.31,0.02, ''Soluble'', ''High'',1,0,-6.09,0.55,1,1,0.484
10, ''99-96-7'', ''4-hydroxybenzoic acid'', ''C1=CC(=CC=C1C(=O)O)O''," ''1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)''", ''FJKROLUGYXJWQN-UHFFFAOYSA-N'', ''C7H6O3'',138.12,1.09,-1,2,3,1,1,57.53,3,10,6,214.5, ''170.00 to 171.00'', ''null'', ''null'',0,35.42,0.85,1.58,1.09,0.99,-2.07,1.18,0.009, ''Soluble'',-2.4,0.55,0, ''Soluble'',-1.17,9.4,0.07, ''Soluble'', ''High'',1,0,-6.02,0.85,1,1,0.556
11, ''64-19-7'', ''Acetic acid'', ''CC(=O)O''," ''1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)''", ''QTBSBXVTEAMEQO-UHFFFAOYSA-N'', ''C2H4O2'',60.05,0.091,-1,1,2,0,0,37.3,2,4,0, ''16.60 to 16.70'', ''170.00 to 171.00'',15.7,2.1,0.5,13.5,0.63,-0.21,0.09,-0.49,-0.08,49.9,0.832, ''Very soluble'',-0.12,45.9,0.77, ''Very soluble'',0.53,205,3.42, ''Soluble'', ''High'',0,0,-6.82,0.85,0,1,-0.033
12, ''75-07-0'', ''acetaldehyde'', ''CC=O''," ''1S/C2H4O/c1-2-3/h2H,1H3''", ''IKHGUXGNUITLKF-UHFFFAOYSA-N'', ''C2H4O'',44.05,-0.3,null,0,1,0,0,17.07,0,3,0, ''125.00 to -123.00'', ''170.00 to 171.00'',902,1.5,0.5,11.93,0.8,-0.27,0.21,-0.37,0.06,50.2,1.14, ''Highly soluble'',0.37,103,2.35, ''Highly soluble'',0.02,46,1.04, ''Soluble'', ''Low'',0,0,-6.76,0.55,0,1,0.395
13, ''513-86-0'', ''3-hydroxybutan-2-one'', ''CC(C(=O)C)O''," ''1S/C4H8O2/c1-3(5)4(2)6/h3,5H,1-2H3''", ''ROWKJAVDOGWPAT-UHFFFAOYSA-N'', ''C4H8O2'',88.11,-0.044,0,1,2,1,0,37.3,2,6,0,15, ''170.00 to 171.00'',2.69,3,0.75,22.7,0.98,-0.3,-0.04,-0.33,-0.13,65.1,0.739, ''Very soluble'',-0.02,83.5,0.95, ''Very soluble'',0.03,93.3,1.06, ''Soluble'', ''High'',0,0,-7.05,0.55,0,1,0.396
14, ''67-64-1'', ''propan-2-one'', ''CC(=O)C'', ''1S/C3H6O/c1-3(2)4/h1-2H3'', ''CSCPPACGZOOCGX-UHFFFAOYSA-N'', ''C3H6O'',58.08,0.595,0,0,1,0,0,17.07,1,4,0, ''-95.00 to -94.00'', ''170.00 to 171.00'',232,2,0.67,16.73,1.14,-0.05,0.6,0.15,-0.17,39.4,0.678, ''Very soluble'',0.14,80.6,1.39, ''Highly soluble'',-0.42,22,0.38, ''Soluble'', ''High'',0,0,-6.69,0.55,0,1,-0.279
15, ''7664-41-7'', ''azane'', ''N'', ''1S/H3N/h1H3'', ''QHKABHOOEWYVLI-UHFFFAOYSA-N'', ''H3N'',17.03,-0.7,null,0,1,0,0,3.24,0,1,0,-78, ''170.00 to 171.00'',8.75,6,0.67,4.73,1.14,-0.05,0.6,0.15,-0.17,39.4,0.678, ''Very soluble'',0.14,80.6,1.39, ''Highly soluble'',-0.42,22,0.38, ''Soluble'', ''High'',0,0,-6.69,0.55,null,null,null
16, ''100-52-7'', ''benzaldehyde'', ''C1=CC=C(C=C1)C=O'', ''1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H'', ''HUMNYLRZRPPJDN-UHFFFAOYSA-N'', ''C7H6O'',106.12,1.499,0,0,1,1,1,17.07,1,8,6, ''-26.00 to -25.00'', ''170.00 to 171.00'',1.27,3.7,0,31.83,1.36,1.48,1.5,1.45,-1.92,1.28,0.012, ''Very soluble'',-1.45,3.8,0.04, ''Very soluble'',-2.28,0.56,0.01, ''Soluble'', ''High'',1,0,-5.9,0.55,1,1,0.393
17, ''71-43-2'', ''benzene'', ''C1=CC=CC=C1'', ''1S/C6H6/c1-2-4-6-5-3-1/h1-6H'', ''UHOVQNZJYSORNB-UHFFFAOYSA-N'', ''C6H6'',78.11,1.687,0,0,0,0,1,0,0,6,6, ''5.00 to 6.00'', ''170.00 to 171.00'',94.8, ''null'',0,26.44,1.58,2.13,1.69,3.17,-2.41,0.307,0.004, ''Soluble'',-1.76,1.35,0.02, ''Very soluble'',-2.27,0.42,0.01, ''Soluble'', ''Low'',0,0,-5.26,0.55,1,1,0.186
18, ''65-85-0'', ''benzoic acid'', ''C1=CC=C(C=C1)C(=O)O''," ''1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)''", ''WPYMKLBDIGXBTP-UHFFFAOYSA-N'', ''C7H6O2'',122.12,1.385,-1,1,2,1,1,37.3,2,9,6, ''122.00 to 123.00'', ''170.00 to 171.00'',10,4.21,0,33.4,1.11,1.87,1.38,1.6,-2.2,0.766,0.006, ''Soluble'',-2.27,0.65,0.01, ''Soluble'',-1.72,2.31,0.02, ''Soluble'', ''High'',1,0,-5.72,0.85,1,1,0.777
19, ''100-51-6'', ''phenylmethanol'', ''C1=CC=C(C=C1)CO''," ''1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2''", ''WVDDGKGOMKODPV-UHFFFAOYSA-N'', ''C7H8O'',108.14,1.179,0,1,1,1,1,20.23,1,8,6, ''-16.00 to -14.00'', ''170.00 to 171.00'',0.094,3.7,0.14,32.57,1.66,1.1,1.03,1.54,-1.69,2.2,0.02, ''Very soluble'',-1.12,8.25,0.08, ''Very soluble'',-2.16,0.75,0.01, ''Soluble'', ''High'',1,0,-6.18,0.55,1,1,0.43
20, ''107-43-7'', ''2-(trimethylazaniumyl)acetate'', ''C[N+](C)(C)CC(=O)[O-]''," ''1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3''", ''KWIUHFFTVRNATP-UHFFFAOYSA-N'', ''C5H11NO2'',117.15,-0.223,0,0,2,2,0,40.13,3,8,0,293, ''null'', ''null'', ''null'',0.8,28.35,-2.19,-0.13,-1.56,-3.67,-0.35,52,0.444, ''Very soluble'',-0.26,64.5,0.55, ''Very soluble'',-0.82,17.6,0.15, ''Soluble'', ''Low'',0,0,-7.11,0.55,1,0,0.376
21, ''123-72-8'', ''butanal'', ''CCCC=O''," ''1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3''", ''ZTQSAGDEMFDKMZ-UHFFFAOYSA-N'', ''C4H8O'',72.11,0.985,1,0,1,2,0,17.07,5,5,0,-96, ''74.00 to 75.00'',88.5,2.5,0.75,21.54,1.3,0.88,0.99,0.6,-0.71,14.1,0.195, ''Very soluble'',-0.82,10.8,0.15, ''Very soluble'',-0.89,9.37,0.13, ''Soluble'', ''High'',1,0,-6.12,0.55,1,1,0.843
22, ''513-85-9''," ''butane-2,3-diol''", ''CC(C(C)O)O''," ''1S/C4H10O2/c1-3(5)4(2)6/h3-6H,1-2H3''", ''OWBTYPJTUOEWEK-UHFFFAOYSA-N'', ''C4H10O2'',90.12,-0.252,0,2,2,1,0,40.46,2,6,0,16.3,182,0.243,3.1,1,23.67,1.26,-0.92,-0.25,-0.18,0.25,159,1.77, ''Highly soluble'',0.55,323,3.58, ''Highly soluble'',0.5,282,3.13, ''Soluble'', ''High'',0,0,-7.5,0.55,0,1,0.809
23, ''71-36-3'', ''butan-1-ol'', ''CCCCO''," ''1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3''", ''LRHPLDYGYMQRHN-UHFFFAOYSA-N'', ''C4H10O'',74.12,0.779,0,1,1,2,0,20.23,1,5,0, ''-89.00 to -88.00'', ''57.00 to 58.00'',6.7,2.5,1,22.5,1.57,0.88,0.78,0.75,-0.72,14.1,0.19, ''Very soluble'',-0.89,9.57,0.13, ''Very soluble'',-0.77,12.5,0.17, ''Soluble'', ''High'',1,0,-6.13,0.55,1,1,0.749
24, ''107-92-6'', ''butanoic acid'', ''CCCC(=O)O''," ''1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)''", ''FERIUCNNQQJTOY-UHFFFAOYSA-N'', ''C4H8O2'',88.11,0.871,-1,1,2,2,0,37.3,2,6,0, ''-7.00 to -5.00'', ''162.00 to 164.00'',1.65,3.04,0.75,23.11,1.1,0.79,0.87,0.49,-0.75,15.6,0.177, ''Very soluble'',-1.15,6.18,0.07, ''Very soluble'',-0.35,39.4,0.45, ''Soluble'', ''High'',1,0,-6.28,0.85,1,1,0.232
25, ''462-94-2''," ''pentane-1,5-diamine''", ''C(CCN)CCN'', ''1S/C5H14N2/c6-4-2-1-3-5-7/h1-7H2'', ''VHRGRCVQAFMJIZ-UHFFFAOYSA-N'', ''C5H14N2'',102.18,0.074,2,2,2,4,0,52.04,2,7,0,9, ''179.00 '',0.961, ''null'',1,31.56,1.39,-0.58,0.07,0.23,0.16,146,1.43, ''Highly soluble'',-0.04,92.7,0.91, ''Very soluble'',-1.11,7.93,0.08, ''Soluble'', ''High'',0,0,-7.34,0.55,1,1,0.784
26, ''64-18-6'', ''formic acid'', ''C(=O)O''," ''1S/CH2O2/c2-1-3/h1H,(H,2,3)''", ''BDAGIHXWWSANSR-UHFFFAOYSA-N'', ''CH2O2'',46.03,-0.2,null,1,2,0,0,37.3,0,3,0, ''8.20 to 8.40'', ''100.00 to 101.00'',36.477,1.6,0,9.08,0.27,-0.2,-0.3,-1.13,0,46.1,1, ''Highly soluble'',-0.13,34.4,0.75, ''Very soluble'',0.97,433,9.4, ''Soluble'', ''High'',0,0,-6.72,0.85,0,1,0.69
27, ''7647-01-0'', ''chlorane'', ''Cl'', ''1S/ClH/h1H'', ''VEXZGXHMUGYJMC-UHFFFAOYSA-N'', ''ClH'',36.46,0.8,null,4,7,0,0,0,0,1,0,-114.77, ''null'', ''null'', ''null'',0.5,6.96,-1.49,-1.72,-1.25,-1.48,0.38,463,2.41, ''Highly soluble'',-0.54,55.3,0.29, ''Very soluble'',1.71,9900,51.5, ''Soluble'', ''Low'',0,0,-8.69,0.56,null,null,null
28, ''91-64-5'', ''chromen-2-one'', ''C1=CC=C2C(=C1)C=CC(=O)O2'', ''1S/C9H6O2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-6H'', ''ZYGHJZDHTFUPRJ-UHFFFAOYSA-N'', ''C9H6O2'',146.14,1.793,0,0,2,0,2,30.21,2,11,10, ''68.00 to 74.00'', ''297.00 to 301.00'',0.1,5.1,0,42.48,1.75,1.39,1.79,1.65,-2.29,0.742,0.005, ''Soluble'',-1.63,3.44,0.02, ''Very soluble'',-3.59,0.04,0, ''Soluble'', ''High'',1,0,-6.2,0.55,1,1,0.865
29, ''536-60-7'', ''(4-propan-2-ylphenyl)methanol'', ''CC(C)C1=CC=C(C=C1)CO''," ''1S/C10H14O/c1-8(2)10-5-3-9(7-11)4-6-10/h3-6,8,11H,7H2,1-2H3''", ''OIGWAXDAPKFNCQ-UHFFFAOYSA-N'', ''C10H14O'',150.22,2.302,0,1,1,2,1,20.23,1,11,6,28, ''135.00 to 136.00'',0.012, ''null'',0.4,47.15,2.33,2.34,2.15,2.49,-2.52,0.457,0.003, ''Soluble'',-2.4,0.59,0, ''Soluble'',-3.03,0.14,0, ''Soluble'', ''High'',1,0,-5.55,0.55,1,1,0.687
30, ''122-03-2'', ''4-propan-2-ylbenzaldehyde'', ''CC(C)C1=CC=C(C=C1)C=O''," ''1S/C10H12O/c1-8(2)10-5-3-9(7-11)4-6-10/h3-8H,1-2H3''", ''WTWBUQJHJGUZCY-UHFFFAOYSA-N'', ''C10H12O'',148.2,2.623,0,0,1,2,1,17.07,1,11,6, ''null'', ''235.00 to 236.00'',0.065, ''null'',0.3,46.41,2.03,2.37,2.62,2.4,-2.52,0.444,0.003, ''Soluble'',-2.37,0.63,0, ''Soluble'',-3.15,0.11,0, ''Soluble'', ''High'',1,0,-5.52,0.55,1,1,0.797
31, ''7786-61-0'', ''4-ethenyl-2-methoxyphenol'', ''COC1=C(C=CC(=C1)C=C)O''," ''1S/C9H10O2/c1-3-7-4-5-8(10)9(6-7)11-2/h3-6,10H,1H2,2H3''", ''YOMSJEATGXXYPX-UHFFFAOYSA-N'', ''C9H10O2'',150.17,2.044,0,1,2,2,1,29.46,2,11,6, ''25.00 to 29.00'',224,0.019, ''null'',0.11,45.05,2.14,2.81,1.93,1.71,-2.81,0.231,0.002, ''Soluble'',-3.09,0.12,0, ''Soluble'',-2.38,0.63,0, ''Soluble'', ''High'',1,0,-5.22,0.55,1,1,0.851
32, ''95-48-7'', ''2-methylphenol'', ''CC1=CC=CC=C1O''," ''1S/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3''", ''QWVGKYWNOKOFNN-UHFFFAOYSA-N'', ''C7H8O'',108.14,1.701,0,1,1,0,1,20.23,1,8,6, ''30.00 to 34.00'', ''191.00 to 192.00'',0.03,3.72,0.14,33.43,1.55,1.95,1.7,1.81,-2.29,0.55,0.005, ''Soluble'',-2,1.08,0.01, ''Very soluble'',-2.14,0.78,0.01, ''Soluble'', ''High'',1,0,-5.58,0.55,1,1,0.882
33, ''69-72-7'', ''2-hydroxybenzoic acid'', ''C1=CC=C(C(=C1)C(=O)O)O''," ''1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)''", ''YGSDEFSMJLZEOE-UHFFFAOYSA-N'', ''C7H6O3'',138.12,1.09,-1,2,3,1,1,57.53,3,10,6, ''158.00 to 161.00'', ''336.00 to 337.00'',1,4.8,0,35.42,1.13,2.26,1.09,0.99,-2.5,0.439,0.003, ''Soluble'',-3.1,0.11,0, ''Soluble'',-1.17,9.4,0.07, ''Soluble'', ''High'',1,0,-5.54,0.85,1,1,0.934
34, ''108-39-4'', ''3-methylphenol'', ''CC1=CC(=CC=C1)O''," ''1S/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3''", ''RLSSMJSEOOYNOY-UHFFFAOYSA-N'', ''C7H8O'',108.14,1.701,0,1,1,0,1,20.23,1,8,6, ''11.00 to 12.00'', ''202.00 to 203.00'',0.11,7.07,0.14,33.43,1.49,1.96,1.7,1.81,-2.3,0.542,0.005, ''Soluble'',-2.01,1.06,0.01, ''Soluble'',-2.14,0.78,0.01, ''Soluble'', ''High'',1,0,-5.57,0.55,1,1,0.654
35, ''111-65-9'', ''heptane'', ''CCCCCCC''," ''1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3''", ''IMNFDUFMRHMDMM-UHFFFAOYSA-N'', ''C7H16'',100.2,3.367,0,0,0,4,0,0,0,7,0, ''-57.00 to -56.00'', ''125.00 to 126.00'',14.157,3.9,1,35.76,2.65,4.66,2.98,3.87,-3.13,0.074,0.001, ''Soluble'',-4.39,0,0, ''Moderately soluble'',-2.6,0.25,0, ''Soluble'', ''Low'',1,0,-3.6,0.55,1,1,0.993
36, ''124-07-2'', ''octanoic acid'', ''CCCCCCCC(=O)O''," ''1S/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10)''", ''WWZKQHOCKIZLMA-UHFFFAOYSA-N'', ''C8H16O2'',144.21,2.431,-1,1,2,6,0,37.3,2,10,0, ''16.00 to 17.00'', ''237.00 to 239.00'',0.022,4.9,0.88,42.34,1.95,3.05,2.43,1.96,-2.26,0.793,0.006, ''Soluble'',-3.5,0.05,0, ''Soluble'',-2.05,1.3,0.01, ''Soluble'', ''High'',1,0,-5.01,0.85,1,1,0.704
37, ''124-13-0'', ''octanal'', ''CCCCCCCC=O''," ''1S/C8H16O/c1-2-3-4-5-6-7-8-9/h8H,2-7H2,1H3''", ''NUJGJRNETVAIRJ-UHFFFAOYSA-N'', ''C8H16O'',128.21,2.546,0,0,1,6,0,17.07,1,9,0,-23, ''171.00 to 173.00'',2.068,4.4,0.88,40.77,2.29,2.72,2.55,2.07,-1.95,1.43,0.011, ''Very soluble'',-2.73,0.24,0, ''Soluble'',-2.6,0.32,0, ''Soluble'', ''High'',1,0,-5.15,0.55,1,1,1.074
38, ''90-05-1'', ''2-methoxyphenol'', ''COC1=CC=CC=C1O''," ''1S/C7H8O2/c1-9-7-5-3-2-4-6(7)8/h2-5,8H,1H3''", ''LHGVFZTZFXWLCP-UHFFFAOYSA-N'', ''C7H8O2'',124.14,1.799,0,1,2,1,1,29.46,3,9,6, ''28.00 to 32.00'', ''205.00 to 206.00'',0.179,4.27,0.14,34.96,1.76,1.32,1.4,1.15,-1.87,1.68,0.014, ''Very soluble'',-1.54,3.58,0.03, ''Very soluble'',-1.91,1.54,0.01, ''Soluble'', ''High'',1,0,-6.12,0.55,1,1,0.838
39, ''123-38-6'', ''propanal'', ''CCC=O''," ''1S/C3H6O/c1-2-3-4/h3H,2H2,1H3''", ''NBBJYMSMWIIQGU-UHFFFAOYSA-N'', ''C3H6O'',58.08,0.595,0,0,1,1,0,17.07,1,4,0, ''-81.00 to -80.00'', ''46.00 to 50.00'',299.382,2,0.67,16.73,1.06,0.59,0.6,0.15,-0.51,18.1,0.312, ''Very soluble'',-0.52,17.5,0.3, ''Very soluble'',-0.44,21.1,0.36, ''Soluble'', ''High'',0,0,-6.24,0.55,1,1,0.55
40, ''431-03-8''," ''butane-2,3-dione''", ''CC(=O)C(=O)C'', ''1S/C4H6O2/c1-3(5)4(2)6/h1-2H3'', ''QSJXEFYPDANLFS-UHFFFAOYSA-N'', ''C4H6O2'',86.09,0.164,0,0,2,1,0,34.14,2,6,0,-2.4, ''87.00 to 88.00'',56.8,2.9,0.5,21.74,1.19,-1.34,0.16,-0.43,0.54,296,3.44, ''Highly soluble'',1.12,1140,13.3, ''Highly soluble'',-0.45,30.8,0.36, ''Soluble'', ''High'',0,0,-7.78,0.55,1,1,0.235
41, ''119-84-6''," ''3,4-dihydrochromen-2-one''", ''C1CC(=O)OC2=CC=CC=C21''," ''1S/C9H8O2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-4H,5-6H2''", ''VMUXSMXIQBNMGZ-UHFFFAOYSA-N'', ''C9H8O2'',148.16,1.538,0,0,2,0,2,26.3,2,11,6, ''24.00 to 25.00'', ''271.00 to 272.00'',4, ''null'',0.22,40.79,1.76,1.64,1.54,1.86,-2.2,0.945,0.006, ''Soluble'',-1.81,2.32,0.02, ''Very soluble'',-2.84,0.22,0, ''Soluble'', ''High'',1,0,-6.04,0.55,1,1,0.755
42, ''96-26-4''," ''1,3-dihydroxypropan-2-one''", ''C(C(=O)CO)O''," ''1S/C3H6O3/c4-1-3(6)2-5/h4-5H,1-2H2''", ''RXKJFZQQPQGTFL-UHFFFAOYSA-N'', ''C3H6O3'',90.08,-1.46,0,2,3,2,0,57.53,3,6,0, ''88.00 to 90.00'', ''212.00 to 214.00'',0.021, ''null'',0.67,19.06,0.48,-1.36,-1.46,-1.66,0.59,351,3.89, ''Highly soluble'',0.65,404,4.49, ''Highly soluble'',0.61,366,4.06, ''Soluble'', ''High'',0,0,-7.82,0.55,0,1,-0.324
43, ''67-68-5'', ''methylsulfinylmethane'', ''CS(=O)C'', ''1S/C2H6OS/c1-4(2)3/h1-2H3'', ''IAZDPXIOMUYVGZ-UHFFFAOYSA-N'', ''C2H6OS'',78.13,-0.005,0,0,1,0,0,36.28,2,4,0, ''17.00 to 19.00'', ''189.00 to 190.00'',0.61,2.7,1,20.01,1.03,-0.61,0.86,-0.37,0.06,89.7,1.15, ''Highly soluble'',0.32,163,2.09, ''Highly soluble'',-0.55,22.1,0.28, ''Soluble'', ''High'',1,0,-7.21,0.55,0,1,-0.385
44, ''64-17-5'', ''ethanol'', ''CCO''," ''1S/C2H6O/c1-2-3/h3H,2H2,1H3''", ''LFQSCWFLJHTTHZ-UHFFFAOYSA-N'', ''C2H6O'',46.07,-0.001,null,1,1,0,0,20.23,1,3,0, ''-115.00 to -114.00'', ''22.00 to 23.00'',44.6,1.59,1,12.89,1.1,-0.09,0,-0.23,-0.07,39.3,0.853, ''Very soluble'',0.12,60.4,1.31, ''Highly soluble'',0.13,62,1.35, ''Soluble'', ''Low'',0,0,-6.64,0.55,1,0,-
45, ''120-72-9'', ''1H-indole'', ''C1=CC=C2C(=C1)C=CN2''," ''1S/C8H7N/c1-2-4-8-7(3-1)5-6-9-8/h1-6,9H''", ''SIKJAQJRHWYJAI-UHFFFAOYSA-N'', ''C8H7N'',117.15,2.168,0,1,0,0,2,15.79,1,9,9, ''51.00 to 54.00'', ''253.00 to 254.00'',0.0122, ''null'',0,38.3,1.43,2.05,2.17,1.57,-2.6,0.296,0.003, ''Soluble'',-2.01,1.14,0.01, ''Soluble'',-3.23,0.07,0, ''Soluble'', ''High'',1,0,-5.56,0.55,1,1,0.617
46, ''133-37-9''," ''2,3-dihydroxybutanedioic acid''", ''C(C(C(=O)O)O)(C(=O)O)O''," ''1S/C4H6O6/c5-1(3(7)8)2(6)4(9)10/h1-2,5-6H,(H,7,8)(H,9,10)''", ''FEWJPZIEWOKRBE-UHFFFAOYSA-N'', ''C4H6O6'',150.09,-2.123,-2,4,6,3,0,115.06,6,10,0, ''206.00 to 210.00'', ''399.00 to 400.00'', ''null'', ''null'',0.5,27.21,-0.83,-1.88,-2.12,-2.18,0.61,614,4.09, ''Highly soluble'',-0.02,144,0.96, ''Very soluble'',2.44,41700,278, ''Soluble'', ''Low'',0,0,-8.55,0.56,0,1,0.643
