new_id, ''casrn'', ''iupac name'', ''smiles'', ''inchi'', ''inchi key'', ''mol formula'',mol weight,logP,Net charge,#H-bond donors,#H-bond acceptors,#Rotatable bonds,Rings,TPSA,Hetero atoms,#Heavy atoms,#Aromatic heavy atoms, ''Melting Point'', ''Boiling point @ 760.00 mm Hg'', ''VaporPressuremmHg@25.00'', ''Vapor Density ( Air = 1 )'',Fraction Csp3,MR,iLOGP,XLOGP3,WLOGP,MLOGP,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l), ''ESOL Class'',Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l), ''Ali Class'',Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l), ''Silicos-IT class'', ''GI absorption'',BBB permeant,Pgp substrate,log Kp (cm/s),Bioavailability Score,Caco02,Human Intestinal Absorption,Plasma protein binding
4519, ''538-23-8''," ''2,3-di(octanoyloxy)propyl octanoate''", ''CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC''," ''1S/C27H50O6/c1-4-7-10-13-16-19-25(28)31-22-24(33-27(30)21-18-15-12-9-6-3)23-32-26(29)20-17-14-11-8-5-2/h24H,4-23H2,1-3H3''", ''VLPFTAMPNXLGLX-UHFFFAOYSA-N'', ''C27H50O6'',470.68,7.066,0,0,6,26,0,78.9,6,33,0, ''9.00 to 11.00'', ''232.00 to 234.00'', ''null'', ''null'',0.89,135.76,5.9,8.94,7.07,4.66,-6.67,0,0, ''Poorly soluble'',-10.49,0,0, ''Insoluble'',-8.11,0,0, ''Poorly soluble'', ''Low'',0,0,-2.82,0.55,0,1,0.782
4520, ''540-97-6''," ''2,2,4,4,6,6,8,8,10,10,12,12-dodecamethyl-1,3,5,7,9,11-hexaoxa-2,4,6,8,10,12-hexasilacyclododecane''", ''C[Si]1(O[Si](O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)(C)C)C''," ''1S/C12H36O6Si6/c1-19(2)13-20(3,4)15-22(7,8)17-24(11,12)18-23(9,10)16-21(5,6)14-19/h1-12H3''", ''IUMSDRXLFWAGNT-UHFFFAOYSA-N'', ''C12H36O6Si6'',444.92,4.31,null,0,6,0,1,55.38,12,24,0,-3,245,0.0225, ''null'',1,111.4,4.81,6.04,4.31,-1.28,-6.4,0,0, ''Poorly soluble'',-6.98,0,0, ''Poorly soluble'',-3.47,0.15,0, ''Soluble'', ''High'',1,0,-4.73,0.55,1,1,0.015
4521, ''544-76-3'', ''hexadecane'', ''CCCCCCCCCCCCCCCC''," ''1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3''", ''DCAYPVUWAIABOU-UHFFFAOYSA-N'', ''C16H34'',226.44,6.488,0,0,0,13,0,0,0,16,0, ''18.00 to 20.00'', ''286.00 to 287.00'',0.005,7.8,1,79.03,4.67,8.28,6.49,6.44,-5.6,0.001,0, ''Moderately soluble'',-8.14,0,0, ''Poorly soluble'',-6.33,0,0, ''Poorly soluble'', ''Low'',0,0,-1.8,0.55,1,1,0.926
4522, ''546-93-0'', ''magnesium;carbonate'', ''C(=O)([O-])[O-].[Mg+2]''," ''1S/CH2O3.Mg/c2-1(3)4;/h(H2,2,3,4);/q;+2/p-2''", ''ZLNQQNXFFQJAID-UHFFFAOYSA-L'', ''MgCO3'',84.31,null,null,0,3,0,0,63.19,null,5,0,350,333.6,0.000026, ''null'',0,6.77,0,-0.13,-2.45,-1.6,-0.28,44.2,0.524, ''Very soluble'',-0.74,15.2,0.18, ''Very soluble'',1.49,2600,30.8, ''Soluble'', ''Low'',0,0,-6.91,0.55,0,1,0.432
4523, ''7778-93-0'', ''(5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl)-(6-methoxyquinolin-4-yl)methanol;sulfuric acid'', ''COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.OS(=O)(=O)O''," ''1S/C20H24N2O2.H2O4S/c1-3-13-12-22-9-7-14(13)10-19(22)20(23)16-6-8-21-18-5-4-15(24-2)11-17(16)18;1-5(2,3)4/h3-6,8,11,13-14,19-20,23H,1,7,9-10,12H2,2H3;(H2,1,2,3,4)''", ''AKYHKWQPZHDOBW-UHFFFAOYSA-N'', ''C20H26N2O6S'',422.5,null,null,3,8,4,3,128.57,null,29,10, ''null'', ''null'', ''null'', ''null'',0.45,113.96,1.42,-0.78,2.9,0.88,-1.96,4.64,0.011, ''Very soluble'',-1.44,15.3,0.04, ''Very soluble'',-4.31,0.02,0, ''Moderately soluble'', ''High'',0,1,-9.43,0.55,1,1,1.159
4524, ''550-99-2''," ''2-(naphthalen-1-ylmethyl)-4,5-dihydro-1H-imidazole;hydrochloride''", ''C1CN=C(N1)CC2=CC=CC3=CC=CC=C32.Cl''," ''1S/C14H14N2.ClH/c1-2-7-13-11(4-1)5-3-6-12(13)10-14-15-8-9-16-14;/h1-7H,8-10H2,(H,15,16);1H''", ''DJDFFEBSKJCGHC-UHFFFAOYSA-N'', ''C14H14N2'',246.74,2.384,1,1,1,2,3,24.39,2,17,10, ''255-260'', ''null'', ''null'', ''null'',0.21,81.91,0,2.87,2.42,3.05,-3.48,0.082,0, ''Soluble'',-3.04,0.22,0, ''Soluble'',-5.4,0,0, ''Moderately soluble'', ''High'',1,1,-5.77,0.55,1,1,0.685
4525, ''555-43-1''," ''2,3-di(octadecanoyloxy)propyl octadecanoate''", ''CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC''," ''1S/C57H110O6/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-55(58)61-52-54(63-57(60)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3)53-62-56(59)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2/h54H,4-53H2,1-3H3''", ''DCXXMTOCNZCJGO-UHFFFAOYSA-N'', ''C57H110O6'',891.48,18.769,null,0,6,56,0,78.9,6,63,0,55, ''812.00 to 813.00'', ''null'', ''null'',0.95,279.97,11.74,25.19,18.77,9.75,-17.54,0,0, ''Insoluble'',-27.35,0,0, ''Insoluble'',-19.64,0,0, ''Insoluble'', ''Low'',0,1,6.15,0.17,0,1,0.876
4526, ''557-04-0'', ''magnesium;octadecanoate'', ''CCCCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-].[Mg+2]''," ''1S/2C18H36O2.Mg/c2*1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20;/h2*2-17H2,1H3,(H,19,20);/q;;+2/p-2''", ''HQKMJHAJHXVSDF-UHFFFAOYSA-L'', ''C36H70MgO4'',591.24,null,null,0,4,32,null,80.26,null,41,0,88.5,359.4,0.000009, ''null'',0.94,176.94,-41.95,16.41,10,7.28,-11.73,0,0, ''Insoluble'',-18.27,0,0, ''Insoluble'',-6.11,0,0, ''Poorly soluble'', ''Low'',0,1,1.74,0.17,1,1,0.843
4527, ''9002-89-5'', ''ethenol'', ''C=CO''," ''1S/C2H4O/c1-2-3/h2-3H,1H2''", ''IMROMDMJAWUWLK-UHFFFAOYSA-N'', ''C2H4O'',44.05,null,null,1,1,0,0,20.23,null,3,0, ''212-267'', ''null'', ''null'', ''null'',0,12.83,0.95,0.5,0.69,-0.37,-0.43,16.4,0.373, ''Very soluble'',-0.49,14.1,0.32, ''Very soluble'',0.48,134,3.05, ''Soluble'', ''High'',0,0,-6.21,0.55,1,1,0.305
4528, ''563-68-8'', ''thallium(1+);acetate'', ''CC(=O)[O-].[Tl+]''," ''1S/C2H4O2.Tl/c1-2(3)4;/h1H3,(H,3,4);/q;+1/p-1''", ''HQOJMTATBXYHNR-UHFFFAOYSA-M'', ''TlC2H3O2'',263.43,null,null,0,2,0,0,40.13,null,5,0,131, ''null'', ''null'', ''null'',0.5,11.56,0,-0.21,-1.24,-0.49,-1.34,12,0.046, ''Very soluble'',-0.18,176,0.67, ''Very soluble'',0.53,901,3.42, ''Soluble'', ''Low'',0,0,-8.06,0.55,0,1,0.12
